程,禾,12,chénɡ
薊,艹,11,error
簏,竹,17,lù
劐,刂,15,huō
醒,酉,16,xǐnɡ
咔,口,8,kā
伙,亻,6,huǒ
溘,氵,13,kè
舛,夕,6,chuǎn
嬡,女,13,ài
窠,穴,13,kē
鸣,鸟,8,mínɡ
粤,米,12,yuè
圩,土,6,xū
椭,木,12,tuǒ
侮,亻,9,wǔ
挱,手,11,suō
芰,艹,7,jì
蒴,艹,13,shuò
家,宀,10,jiā
麸,麦,11,fū
嶺,山,3,error
譁,口,3,error
乃,丿,2,nǎi
赅,贝,10,ɡāi
揆,扌,12,kuí
蝉,虫,14,chán
饍,月,16,shàn
屏,尸,9,pínɡ
翎,羽,11,línɡ
燒,火,10,shāo
镕,钅,4,error
诖,讠,8,ɡuà
付,亻,5,fù
扛,扌,6,kánɡ
跚,足,12,shān
摟,扌,12,lǒu
嫠,女,14,lí
駢,马,9,pián
峤,山,9,qiáo
詫,讠,8,chà
闪,门,5,shǎn
棬,木,4,error
豯,豕,14,xī
擴,扌,12,error
顷,页,8,qǐnɡ
役,彳,7,yì
绸,纟,11,chóu
鉻,钅,10,mǎo
兽,丷,11,shòu
鑿,凵,12,záo
謀,讠,11,móu
沅,氵,7,yuán
贄,贝,10,zhì
暉,日,10,huī
蜈,虫,13,wú
碍,石,13,ài
餌,饣,12,error
錐,钅,4,error
倒,亻,10,dǎo
锔,钅,12,jū
氚,气,7,chuān
肝,月,7,ɡān
骡,马,14,luó
鲥,鱼,9,shí
殫,歹,12,dān
琪,王,12,qí
涯,氵,11,yá
踮,足,15,diǎn
枳,木,9,zhǐ
騶,马,8,zōu
玻,王,9,bō
鰺,魚,8,error
儼,亻,9,yǎn
杈,木,7,chā
獐,犭,14,zhānɡ
韓,韦,10,tāo
哕,口,9,yue
畔,田,10,pàn
滙,氵,11,error
惝,忄,11,chǎnɡ
靨,面,15,yè
呪,口,8,zhòu
湮,氵,12,yān
英,艹,8,yīnɡ
究,穴,7,jiū
黹,黹,12,zhǐ
叻,口,5,lè
都,阝,10,dōu
百,白,6,bǎi
笋,竹,10,sǔn
喔,口,12,wō
丙,一,5,bǐnɡ
澘,氵,15,shān
茛,艹,9,ɡèn
憜,忄,12,duò
蔟,艹,14,cù
箠,木,12,chuí
尥,尢,6,liào
鄧,阝,4,dènɡ
嘩,口,3,error
覬,见,4,error
亮,亠,9,liànɡ
莰,艹,10,kǎn
薴,艹,16,zī
縹,纟,14,piāo
醼,宀,16,yàn
詁,讠,7,shěn
佃,亻,7,diàn
棂,木,11,línɡ
拆,扌,8,chāi
虉,艹,17,yì
額,页,15,é
绎,纟,8,yì
楗,木,12,jiàn
論,讠,6,lùn
俘,亻,9,fú
賚,贝,11,lài
蛞,虫,12,kuò
飢,飠,8,error
照,灬,13,zhào
鋦,钅,12,jū
譫,讠,15,zhān
铪,钅,11,hā
饷,饣,9,xiǎnɡ
幹,幹,13,ɡàn
偽,亻,6,wěi
燼,火,13,làn
长,长,4,chánɡ
谀,讠,10,yú
疑,疋,14,yí
鐐,钅,17,liào
園,囗,7,yuán
鈔,钅,7,yì
缢,纟,13,yì
甦,艹,4,chánɡ
沫,氵,8,mò
猪,犭,11,zhū
纷,纟,7,fēn
汀,氵,5,tīnɡ
橄,木,15,ɡǎn
蛇,虫,11,shé
鳋,鱼,12,sāo
忍,心,7,rěn
髏,骨,18,lóu
嗑,口,13,kē
郓,阝,8,yùn
柝,木,9,tuò
虜,虍,8,lǔ
緡,纟,12,mín
鱠,月,11,jì
形,彡,7,xínɡ
篥,竹,16,lì
驤,马,3,error
啦,口,11,lā
遨,辶,13,áo
迭,辶,8,dié
楮,木,12,chǔ
杲,木,8,ɡǎo
菵,艹,11,error
廷,廴,6,tínɡ
絶,纟,9,jué
勿,勹,4,wù
辂,车,10,lù
昇,日,4,error
薆,艹,11,error
簋,竹,17,ɡuǐ
莊,广,6,zhuānɡ
馎,饣,12,error
咐,口,8,fù
鞒,革,15,qiáo
梘,木,8,jiǎn
舟,舟,6,zhōu
阧,阝,13,hé
漭,氵,13,mǎnɡ
躬,身,10,ɡōnɡ
芴,艹,7,wù
隼,隹,10,sǔn
赁,贝,10,lìn
濂,氵,16,lián
旆,方,10,pèi
屋,尸,9,wū
镑,钅,15,bànɡ
偓,亻,11,wò
跖,足,12,zhí
摛,扌,13,chī
诚,讠,8,chénɡ
癧,疒,9,lì
僨,亻,11,fèn
豫,豕,15,yù
滬,氵,7,hù
擰,扌,12,error
聳,耳,10,sǒnɡ
拴,扌,9,shuān
她,女,6,tā
盼,目,9,pàn
鉿,钅,10,yuè
沁,氵,7,qìn
謄,言,13,ténɡ
悉,心,11,xī
纍,糸,12,sè
鼌,黽,13,zhāo
锐,钅,12,ruì
侗,亻,8,dònɡ
氖,气,6,nǎi
蚝,虫,10,háo
鲡,鱼,15,lí
妣,女,7,bǐ
骥,马,19,jì
垧,土,9,shǎnɡ
琦,王,12,qí
涫,氵,11,ɡuàn
爪,爪,4,zhǎo
殯,歹,14,bìn
蠮,虫,6,error
夸,大,6,kuā
逾,辶,12,yú
蟇,虫,6,error
慈,心,13,cí
罌,缶,14,yīnɡ
哑,口,9,yǎ
畐,辶,10,wǔ
釓,钅,6,ɡá
動,力,6,dònɡ
曝,日,19,pù
蝜,虫,10,hàn
糡,米,6,error
鵠,鸟,12,hú
幢,巾,15,zhuànɡ
童,立,12,tónɡ
呦,口,8,yōu
烩,火,10,huì
剪,刀,11,jiǎn
桮,木,4,error
空,穴,8,kōnɡ
灾,火,7,zāi
紋,纟,5,xī
芊,艹,6,qiān
笏,竹,10,hù
焓,火,11,hán
榘,木,9,jǔ
果,木,8,ɡuǒ
娥,女,10,é
霧,雨,8,error
倩,亻,10,qiàn
熨,火,15,yùn
渭,氵,12,wèi
薰,艹,17,xūn
莴,艹,10,wō
砹,石,10,ài
傾,亻,2,error
豁,谷,17,huō
滂,氵,13,pānɡ
嵋,山,12,méi
拊,扌,8,fǔ
孏,火,4,error
鑑,金,8,error
盒,皿,11,hé
鉕,钅,4,error
敛,攵,11,liǎn
损,扌,10,sǔn
胞,月,9,bāo
黢,黑,19,qū
寤,宀,14,wù
赫,赤,14,hè
鋪,钅,12,pù
濬,氵,11,error
譯,讠,11,yīnɡ
旰,日,7,ɡàn
援,扌,12,yuán
齷,齿,17,wò
塹,土,11,qiàn
秸,禾,11,jiē
澁,氵,11,error
掉,扌,11,diào
興,八,6,xīnɡ
瞑,目,15,mínɡ
阐,门,11,chǎn
途,辶,10,tú
挞,扌,9,tà
索,糸,10,suǒ
馥,香,18,fù
咧,口,9,liě
眦,目,11,zì
鎩,钅,11,shā
梯,木,11,tī
皻,鼻,25,zhā
餺,饣,14,xī
吼,口,7,hǒu
錾,金,16,zàn
桄,木,10,ɡuānɡ
蓇,艹,10,quē
扈,户,11,hù
巍,山,20,wēi
籌,竹,6,error
飏,风,5,yánɡ
灔,氵,13,yàn
毙,比,10,bì
詘,讠,7,qū
葜,艹,12,qiā
翡,羽,14,fěi
坦,土,8,tǎn
珩,王,10,hénɡ
仫,亻,5,mù
敲,攴,14,qiāo
祺,礻,12,qí
闽,门,9,mǐn
僿,土,13,sāi
獾,犭,20,huān
趂,走,12,chèn
搇,扌,10,zhēn
膊,月,14,bó
岌,山,6,jí
鮎,鱼,8,error
嚐,小,11,chánɡ
閒,门,15,rónɡ
谗,讠,11,chán
纠,纟,5,jiū
夥,夕,14,huǒ
鐧,钅,12,jiǎn
犨,牛,20,chōu
責,贝,8,zé
朱,木,6,zhū
蚰,虫,11,yóu
肴,月,8,yáo
骸,骨,15,hái
钼,钅,10,mù
草,艹,9,cǎo
懊,忄,15,ào
塏,土,3,error
痒,疒,11,yǎnɡ
汗,氵,6,hàn
觚,角,12,ɡū
廠,厂,2,error
壤,土,20,rǎnɡ
韦,韦,4,wéi
曰,曰,4,yuē
艳,色,10,yàn
惴,忄,12,zhuì
鱷,鱼,8,error
陻,土,12,yīn
啽,口,12,ān
避,辶,16,bì
梅,木,11,méi
抉,扌,7,jué
茈,艹,9,zǐ
皑,白,11,ái
吒,口,6,zhà
炕,火,8,kànɡ
鄔,阝,6,wū
渖,氵,11,error
蒝,艹,11,error
戞,戈,11,jiá
宣,宀,9,xuān
颥,页,20,rú
喧,口,12,xuān
